# text	pinyin	sp	aux	code	weight	source
丆		pp	mh	ppmh	0	radicals
丌		pp	ml	ppml	0	radicals
丨		pp	ll	ppll	0	radicals
丩		pp	vl	ppvl	0	radicals
丬		pp	lm	pplm	0	radicals
丶		pp	ii	ppii	0	radicals
丷		pp	ih	ppih	0	radicals
丿		pp	hh	pphh	0	radicals
乀		pp	mo	ppmo	0	radicals
乁		pp	mo	ppmo	0	radicals
⺄		pp	zv	ppzv	0	radicals
乂		pp	kk	ppkk	0	radicals
乊		pp	hc	pphc	0	radicals
乚		pp	lu	pplu	0	radicals
𠃌		pp	mn	ppmn	0	radicals
乛		pp	mh	ppmh	0	radicals
𠂤		pp	hr	pphr	0	radicals
亅		pp	nn	ppnn	0	radicals
亠		pp	im	ppim	0	radicals
亻		pp	hl	pphl	0	radicals
冂		pp	ls	ppls	0	radicals
囗		pp	bm	ppbm	0	radicals
冖		pp	hn	pphn	0	radicals
冫		pp	im	ppim	0	radicals
凵		pp	vl	ppvl	0	radicals
刂		pp	ln	ppln	0	radicals
勹		pp	hs	pphs	0	radicals
匚		pp	mv	ppmv	0	radicals
卄		pp	jj	ppjj	0	radicals
卝		pp	ly	pply	0	radicals
卩		pp	sl	ppsl	0	radicals
厶		pp	vi	ppvi	0	radicals
夂		pp	he	pphe	0	radicals
夊		pp	he	pphe	0	radicals
宀		pp	ib	ppib	0	radicals
尢		pp	ku	ppku	0	radicals
屮		pp	uh	ppuh	0	radicals
巜		pp	vv	ppvv	0	radicals
廴		pp	nk	ppnk	0	radicals
廾		pp	jj	ppjj	0	radicals
廿		pp	tt	pptt	0	radicals
弋		pp	ip	ppip	0	radicals
𫜹		pp	sm	ppsm	0	radicals
彑		pp	vm	ppvm	0	radicals
彡		pp	hh	pphh	0	radicals
彳		pp	ho	ppho	0	radicals
忄		pp	hy	pphy	0	radicals
手		pp	qq	ppqq	0	radicals
扌		pp	dm	ppdm	0	radicals
攵		pp	ok	ppok	0	radicals
日		pp	aa	ppaa	0	radicals
曰		pp	aa	ppaa	0	radicals
月		pp	bb	ppbb	0	radicals
⺼		pp	zb	ppzb	0	radicals
水		pp	ee	ppee	0	radicals
氵		pp	im	ppim	0	radicals
氺		pp	ff	ppff	0	radicals
灬		pp	hf	pphf	0	radicals
爫		pp	hf	pphf	0	radicals
爿		pp	vm	ppvm	0	radicals
犭		pp	kh	ppkh	0	radicals
疋		pp	no	ppno	0	radicals
疒		pp	im	ppim	0	radicals
癶		pp	no	ppno	0	radicals
目		pp	bu	ppbu	0	radicals
礻		pp	if	ppif	0	radicals
糸		pp	vf	ppvf	0	radicals
糹		pp	vf	ppvf	0	radicals
纟		pp	vm	ppvm	0	radicals
罒		pp	wl	ppwl	0	radicals
耂		pp	jk	ppjk	0	radicals
肀		pp	js	ppjs	0	radicals
艮		pp	av	ppav	0	radicals
艹		pp	jj	ppjj	0	radicals
虍		pp	yp	ppyp	0	radicals
衤		pp	io	ppio	0	radicals
覀		pp	mw	ppmw	0	radicals
讠		pp	iv	ppiv	0	radicals
豕		pp	mo	ppmo	0	radicals
豸		pp	bh	ppbh	0	radicals
辶		pp	io	ppio	0	radicals
釒		pp	oc	ppoc	0	radicals
钅		pp	op	ppop	0	radicals
阝		pp	nl	ppnl	0	radicals
飠		pp	oi	ppoi	0	radicals
饣		pp	nv	ppnv	0	radicals
⺈		pp	zn	ppzn	0	radicals
⺋		pp	zu	ppzu	0	radicals
龴		pp	ni	ppni	0	radicals
⺌		pp	zc	ppzc	0	radicals
⺗		pp	zi	ppzi	0	radicals
龵		pp	hq	pphq	0	radicals
龶		pp	qm	ppqm	0	radicals
龷		pp	tm	pptm	0	radicals
⺧		pp	zg	ppzg	0	radicals
𡗗		pp	qk	ppqk	0	radicals
⺻		pp	zm	ppzm	0	radicals
龹		pp	fq	ppfq	0	radicals
⻊		pp	zl	ppzl	0	radicals
龺		pp	jj	ppjj	0	radicals
𤇾		pp	fb	ppfb	0	radicals
兀		pp	mu	ppmu	0	radicals
𡭔		pp	lc	pplc	0	radicals
䒑		pp	cm	ppcm	0	radicals
龸		pp	fb	ppfb	0	radicals
